,FIELD,CODE,TICKER
505,RI,QLD,U:QLD
506,RI,QLS,U:QLS
507,RI,QLV,U:QLV
508,RI,QMJ,U:QMJ
509,RI,QMN,U:QMN
510,RI,QQH,U:QQH
511,RI,QQQ,@QQQ
512,RI,QSY,U:QSY
513,RI,QUS,U:QUS
514,RI,QVM,U:QVM
515,RI,RCD,U:RCD
516,RI,REC,U:REC
517,RI,REK,U:REK
518,RI,REM,U:REM
519,RI,REW,U:REW
520,RI,REZ,U:REZ
521,RI,RFG,U:RFG
522,RI,RFV,U:RFV
523,RI,RGI,U:RGI
524,RI,RHS,U:RHS
525,RI,RJA,U:RJA
526,RI,RJI,U:RJI
527,RI,RJN,U:RJN
528,RI,RJZ,U:RJZ
529,RI,RLY,U:RLY
530,RI,ROM,U:ROM
531,RI,RPG,U:RPG
532,RI,RPV,U:RPV
533,RI,RSP,U:RSP
534,RI,RSX,U:RSX
535,RI,RTH,@RTH
536,RI,RTM,U:RTM
537,RI,RWJ,U:RWJ
538,RI,RWK,U:RWK
539,RI,RWL,U:RWL
540,RI,RWM,U:RWM
541,RI,RWO,U:RWO
542,RI,RWR,U:RWR
543,RI,RWX,U:RWX
544,RI,RXD,U:RXD
545,RI,RXI,U:RXI
546,RI,RXL,U:RXL
547,RI,RYE,U:RYE
548,RI,RYF,U:RYF
549,RI,RYH,U:RYH
550,RI,RYJ,U:RYJ
551,RI,RYT,U:RYT
552,RI,RYU,U:RYU
553,RI,RZG,U:RZG
554,RI,RZV,U:RZV
555,RI,SAA,U:SAA
556,RI,SBB,U:SBB
557,RI,SBM,U:SBM
558,RI,SCC,U:SCC
559,RI,SCJ,U:SCJ
560,RI,SCO,U:SCO
561,RI,SCZ,@SCZ
562,RI,SDD,U:SDD
563,RI,SDG,@SDG
564,RI,SDP,U:SDP
565,RI,SDS,U:SDS
566,RI,SDY,U:SDY
567,RI,SEF,U:SEF
568,RI,SFY,U:SFY
569,RI,SGG,U:SGG
570,RI,SHE,U:SHE
571,RI,SHM,U:SHM
572,RI,SHV,@SHV
573,RI,SHY,@SHY
574,RI,SIJ,U:SIJ
575,RI,SIL,U:SIL
576,RI,SJB,U:SJB
577,RI,SKF,U:SKF
578,RI,SLT,U:SLT
579,RI,SLV,U:SLV
580,RI,SLX,U:SLX
581,RI,SLY,U:SLY
